Unnamed: 0,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link,title_clean,title_clean_lower,content_clean,content_clean_lower
65cf9ea3b0ceb51cef869007,5,This was a great experience!,"This was a great experience. I got a couple of curators to include my work on their playlists. They are doing well, and I am very pleased with the positive results! Excellent work!",2024-02-16T19:42:59.000Z,"February 02, 2024",Jeff Glover,3,US,https://www.trustpilot.com/reviews/65cf9ea3b0ceb51cef869007,https://www.trustpilot.com/users/652929f74be0cf0011aba575,This was a great experience!,this was a great experience!,"This was a great experience. I got a couple of curators to include my work on their playlists. They are doing well, and I am very pleased with the positive results! Excellent work!","this was a great experience. i got a couple of curators to include my work on their playlists. they are doing well, and i am very pleased with the positive results! excellent work!"
65cf58aae6adab6c5c9fa851,5,It's a great app ! 👍🏼,It's a great app! As a curator I declare myself very satisfied. 😊 I hope to receive more and more collaborations. I really like! 👍🏼,2024-02-16T14:44:27.000Z,"February 16, 2024",Gaby Manea,1,RO,https://www.trustpilot.com/reviews/65cf58aae6adab6c5c9fa851,https://www.trustpilot.com/users/65cf58a0ed07930012436a03,It's a great app ! ,it's a great app ! ,It's a great app! As a curator I declare myself very satisfied.  I hope to receive more and more collaborations. I really like! ,it's a great app! as a curator i declare myself very satisfied.  i hope to receive more and more collaborations. i really like! 
65c9152afbcbfd006774320b,1,Curator,"Curators, be warned! I've been a curator on soundcampaign for over a year, and 3 weeks ago, they decided to block my account and forfeit over 500$ that I had on my account. They told me i used a vpn (which I didnt) and ignored me after i asked for proof or explanation. Ive been a curator for groover and playlistpush but soundcamps is by the far the worst and untrustworthy. What a dissapointment",2024-02-11T20:42:50.000Z,"December 28, 2023",Oliver,6,NL,https://www.trustpilot.com/reviews/65c9152afbcbfd006774320b,https://www.trustpilot.com/users/61d5781b2c321f0015f22c85,Curator,curator,"Curators, be warned! I've been a curator on soundcampaign for over a year, and 3 weeks ago, they decided to block my account and forfeit over 500$ that I had on my account. They told me i used a vpn (which I didnt) and ignored me after i asked for proof or explanation. Ive been a curator for groover and playlistpush but soundcamps is by the far the worst and untrustworthy. What a dissapointment","curators, be warned! i've been a curator on soundcampaign for over a year, and 3 weeks ago, they decided to block my account and forfeit over 500$ that i had on my account. they told me i used a vpn (which i didnt) and ignored me after i asked for proof or explanation. ive been a curator for groover and playlistpush but soundcamps is by the far the worst and untrustworthy. what a dissapointment"
65c125fbf5b43ea1e09e2537,5,My music wasn't much listened before…,"My music wasn't much listened before until I made a campaign, and my number of listeners and streams has grow exponentially! My track was sent to curators of the target of my music style, also good to get feedback from them. Overall experience I am happy with the results.",2024-02-05T20:16:27.000Z,"February 05, 2024",Felipe Libreros Foronda,1,QA,https://www.trustpilot.com/reviews/65c125fbf5b43ea1e09e2537,https://www.trustpilot.com/users/65c125f1f04dac0012fb7014,My music wasn't much listened before…,my music wasn't much listened before…,"My music wasn't much listened before until I made a campaign, and my number of listeners and streams has grow exponentially! My track was sent to curators of the target of my music style, also good to get feedback from them. Overall experience I am happy with the results.","my music wasn't much listened before until i made a campaign, and my number of listeners and streams has grow exponentially! my track was sent to curators of the target of my music style, also good to get feedback from them. overall experience i am happy with the results."
65c107b97eb4deee99c45e7e,5,I am a curator for Sound Campaign,"I am a curator for Sound Campaign.  My playlist is called ""Soft PIano for Reading""  and I receive and review tracks and curate the submission for my playlist.  Things work very smoothly, and I have made several selections from Sound Campaign artists submissions for my playlists.Good job Sound Campaign on finding me great music to review.",2024-02-05T18:07:22.000Z,"February 05, 2024",Michael Emenau,4,CA,https://www.trustpilot.com/reviews/65c107b97eb4deee99c45e7e,https://www.trustpilot.com/users/5fbf031c06deb5001b6e2986,I am a curator for Sound Campaign,i am a curator for sound campaign,"I am a curator for Sound Campaign.  My playlist is called ""Soft PIano for Reading""  and I receive and review tracks and curate the submission for my playlist.  Things work very smoothly, and I have made several selections from Sound Campaign artists submissions for my playlists.Good job Sound Campaign on finding me great music to review.","i am a curator for sound campaign.  my playlist is called ""soft piano for reading""  and i receive and review tracks and curate the submission for my playlist.  things work very smoothly, and i have made several selections from sound campaign artists submissions for my playlists.good job sound campaign on finding me great music to review."
65c2806bf56968047b95bb33,5,It got me on a playlist so job done be…,It got me on a playlist so job done be prepared to  get some criticism  not everyone  will like your work,2024-02-06T20:54:35.000Z,"February 06, 2024",Astro Nut Hhh,3,GB,https://www.trustpilot.com/reviews/65c2806bf56968047b95bb33,https://www.trustpilot.com/users/60171c9350384e001aea6578,It got me on a playlist so job done be…,it got me on a playlist so job done be…,It got me on a playlist so job done be prepared to  get some criticism  not everyone  will like your work,it got me on a playlist so job done be prepared to  get some criticism  not everyone  will like your work
65bb0159480bf0a6a3dd1ff0,5,Was very pleased with the playlist promotion…,"Was very pleased with using SoundCampaign for a recent Spotify playlist promotion. The campaign was easy to initiate, and was also easy to navigate throughout the entire process. Detailed feedback was provided by every each curator, and the song was pitched to relevant and high quality playlists. Am very happy overall with the playlist placement results in relation to the chosen budget, and looking forward to seeing what the overall impact will be.",2024-02-01T04:26:33.000Z,"January 31, 2024",Gee,2,US,https://www.trustpilot.com/reviews/65bb0159480bf0a6a3dd1ff0,https://www.trustpilot.com/users/64b6e4be9a4ddb001336d500,Was very pleased with the playlist promotion…,was very pleased with the playlist promotion…,"Was very pleased with using SoundCampaign for a recent Spotify playlist promotion. The campaign was easy to initiate, and was also easy to navigate throughout the entire process. Detailed feedback was provided by every each curator, and the song was pitched to relevant and high quality playlists. Am very happy overall with the playlist placement results in relation to the chosen budget, and looking forward to seeing what the overall impact will be.","was very pleased with using soundcampaign for a recent spotify playlist promotion. the campaign was easy to initiate, and was also easy to navigate throughout the entire process. detailed feedback was provided by every each curator, and the song was pitched to relevant and high quality playlists. am very happy overall with the playlist placement results in relation to the chosen budget, and looking forward to seeing what the overall impact will be."
65c2189045d71d6b5441a4eb,5,Love how fast everything went i just…,Love how fast everything went i just had 2 playlist added for my song in one day thank you also great work and the price is also perfect🔥👌🏻,2024-02-06T13:31:28.000Z,"February 04, 2024",mr krog king,1,CH,https://www.trustpilot.com/reviews/65c2189045d71d6b5441a4eb,https://www.trustpilot.com/users/65c21887ad54620013740dc7,Love how fast everything went i just…,love how fast everything went i just…,Love how fast everything went i just had 2 playlist added for my song in one day thank you also great work and the price is also perfect,love how fast everything went i just had 2 playlist added for my song in one day thank you also great work and the price is also perfect
65c6461582d120167dee3625,5,It’s good to be in control of where…,"It’s good to be in control of where your music goes and be able to have a transparent look into the distribution of your music, and tunecore allows you both.",2024-02-09T17:34:45.000Z,"February 09, 2024",Austin,1,US,https://www.trustpilot.com/reviews/65c6461582d120167dee3625,https://www.trustpilot.com/users/65c645f1eb698e0012cd8746,It’s good to be in control of where…,it’s good to be in control of where…,"It’s good to be in control of where your music goes and be able to have a transparent look into the distribution of your music, and tunecore allows you both.","it’s good to be in control of where your music goes and be able to have a transparent look into the distribution of your music, and tunecore allows you both."
65bf95553bd93a64d7a19194,1,Big waste of money for me,"Big waste of money for me, spent $180 submitting my song and got glowing reviews of parts of my track from all curators and ZERO adds to playlists, submitted my other songs (of similar quality) to submit hub and got adds to playlists with 19000 followers. These guys do submit your music to great playlist curators but if the track is not up to par there is no redemption and the money is lost. I think that they shouldn't accept a song that will not get adds to any playlists and in the event that does happen, they should give the artist a credit or a refund. Find my song as - Cyclical by Auctori on spotify etc to see what a song that went nowhere on sound campaign sounds like",2024-02-04T15:47:01.000Z,"February 04, 2024",Dave Torrey,1,US,https://www.trustpilot.com/reviews/65bf95553bd93a64d7a19194,https://www.trustpilot.com/users/65bf954aeeb70200128acff7,Big waste of money for me,big waste of money for me,"Big waste of money for me, spent $180 submitting my song and got glowing reviews of parts of my track from all curators and ZERO adds to playlists, submitted my other songs (of similar quality) to submit hub and got adds to playlists with 19000 followers. These guys do submit your music to great playlist curators but if the track is not up to par there is no redemption and the money is lost. I think that they shouldn't accept a song that will not get adds to any playlists and in the event that does happen, they should give the artist a credit or a refund. Find my song as - Cyclical by Auctori on spotify etc to see what a song that went nowhere on sound campaign sounds like","big waste of money for me, spent $180 submitting my song and got glowing reviews of parts of my track from all curators and zero adds to playlists, submitted my other songs (of similar quality) to submit hub and got adds to playlists with 19000 followers. these guys do submit your music to great playlist curators but if the track is not up to par there is no redemption and the money is lost. i think that they shouldn't accept a song that will not get adds to any playlists and in the event that does happen, they should give the artist a credit or a refund. find my song as - cyclical by auctori on spotify etc to see what a song that went nowhere on sound campaign sounds like"
